Name,Source,Type,Rarity,Power,Attune-Requirement,Attune,Cursed,Ibs,Use,Proficiency-Tools,Quality-1,Quality-2,Quality-3,No-of-Mat,Mat-Base-Price,Mat-Total-Cost,Labor-Cost,Enchant-Cost,Resale-Normal,Total-Cost,Description
Smoldering Hide Armor,XGE 139,Armor,Common,Minor,,FALSE,FALSE,12.00,Permanent,Leatherworkers-Tools,Phantasmal ,,,7,20,140,33,2,88,175,"Wisps of harmless, odorless smoke rise from this armor while it is worn."
Smoldering Leather Armor,XGE 139,Armor,Common,Minor,,FALSE,FALSE,10.00,Permanent,Leatherworkers-Tools,Phantasmal ,,,7,20,140,33,2,88,175,"Wisps of harmless, odorless smoke rise from this armor while it is worn."
Smoldering Padded Armor,XGE 139,Armor,Common,Minor,,FALSE,FALSE,8.00,Permanent,Leatherworkers-Tools,Phantasmal ,,,7,20,140,33,2,88,175,"Wisps of harmless, odorless smoke rise from this armor while it is worn."
Smoldering Plate Armor,XGE 140,Armor,Common,Minor,,FALSE,FALSE,65.00,Permanent,Smiths-Tools,Phantasmal ,,,7,20,140,33,2,88,175,"Wisps of harmless, odorless smoke rise from this armor while it is worn."
Smoldering Ring Mail,XGE 140,Armor,Common,Minor,,FALSE,FALSE,40.00,Permanent,Smiths-Tools,Phantasmal ,,,7,20,140,33,2,88,175,"Wisps of harmless, odorless smoke rise from this armor while it is worn."
Smoldering Scale Mail,XGE 140,Armor,Common,Minor,,FALSE,FALSE,45.00,Permanent,Smiths-Tools,Phantasmal ,,,7,20,140,33,2,88,175,"Wisps of harmless, odorless smoke rise from this armor while it is worn."
Smoldering Spiked Armor,XGE 140,Armor,Common,Minor,,FALSE,FALSE,45.00,Permanent,Smiths-Tools,Phantasmal ,,,7,20,140,33,2,88,175,"Wisps of harmless, odorless smoke rise from this armor while it is worn."
Smoldering Splint Armor,XGE 140,Armor,Common,Minor,,FALSE,FALSE,60.00,Permanent,Smiths-Tools,Phantasmal ,,,7,20,140,33,2,88,175,"Wisps of harmless, odorless smoke rise from this armor while it is worn."
Smoldering Studded Leather Armor,XGE 139,Armor,Common,Minor,,FALSE,FALSE,13.00,Permanent,Leatherworkers-Tools,Phantasmal ,,,7,20,140,33,2,88,175,"Wisps of harmless, odorless smoke rise from this armor while it is worn."
Spiked Armor of Gleaming,XGE 136,Armor,Common,Minor,,FALSE,FALSE,45.00,Permanent,Smiths-Tools,Mercurial ,,,7,20,140,33,2,88,175,This armor never gets dirty.
Splint Armor of Gleaming,XGE 136,Armor,Common,Minor,,FALSE,FALSE,60.00,Permanent,Smiths-Tools,Mercurial ,,,7,20,140,33,2,88,175,This armor never gets dirty.
Guardians Gauntlet,Homebrew,Armor,Artifact,Major,,TRUE,FALSE,,Permanent,Smiths-Tools,Theurgic,,,8,"50,000","400,000","100,000",ERROR,"250,000","500,000",
Ring of the Nine Hells,Homebrew,Armor,Artifact,Major,,TRUE,FALSE,-,Permanent,Smiths-Tools,Fiendish,Fiery,Chaotic,8,"50,000","400,000","100,000",ERROR,"250,000","500,000",
+3 Breastplate Armor,DMG 152,Armor,Legendary,Major,,FALSE,FALSE,20.00,Permanent,Smiths-Tools,Theurgic,,,8,"20,000","160,000","35,000","5,000","100,000","200,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+3 Chain Mail Armor,DMG 152,Armor,Legendary,Major,,FALSE,FALSE,55.00,Permanent,Smiths-Tools,Theurgic,,,8,"20,000","160,000","35,000","5,000","100,000","200,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+3 Chain Shirt Armor,DMG 152,Armor,Legendary,Major,,FALSE,FALSE,20.00,Permanent,Smiths-Tools,Theurgic,,,8,"20,000","160,000","35,000","5,000","100,000","200,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+3 Half Plate Armor,DMG 152,Armor,Legendary,Major,,FALSE,FALSE,40.00,Permanent,Smiths-Tools,Theurgic,,,8,"20,000","160,000","35,000","5,000","100,000","200,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+3 Hide Armor,DMG 152,Armor,Legendary,Major,,FALSE,FALSE,12.00,Permanent,Leatherworkers-Tools,Theurgic,,,8,"20,000","160,000","35,000","5,000","100,000","200,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+3 Leather Armor,DMG 152,Armor,Legendary,Major,,FALSE,FALSE,10.00,Permanent,Leatherworkers-Tools,Theurgic,,,8,"20,000","160,000","35,000","5,000","100,000","200,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+3 Padded Armor,DMG 152,Armor,Legendary,Major,,FALSE,FALSE,8.00,Permanent,Weavers-Tools,Theurgic,,,8,"20,000","160,000","35,000","5,000","100,000","200,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+3 Plate Armor,DMG 152,Armor,Legendary,Major,,FALSE,FALSE,65.00,Permanent,Smiths-Tools,Theurgic,,,8,"20,000","160,000","35,000","5,000","100,000","200,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+3 Ring Mail Armor,DMG 152,Armor,Legendary,Major,,FALSE,FALSE,45.00,Permanent,Smiths-Tools,Theurgic,,,8,"20,000","160,000","35,000","5,000","100,000","200,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+3 Scale Mail Armor,DMG 152,Armor,Legendary,Major,,FALSE,FALSE,45.00,Permanent,Smiths-Tools,Theurgic,,,8,"20,000","160,000","35,000","5,000","100,000","200,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+3 Splint Armor,DMG 152,Armor,Legendary,Major,,FALSE,FALSE,60.00,Permanent,Smiths-Tools,Theurgic,,,8,"20,000","160,000","35,000","5,000","100,000","200,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+3 Studded Leather Armor,DMG 152,Armor,Legendary,Major,,FALSE,FALSE,13.00,Permanent,Leatherworkers-Tools,Theurgic,,,8,"20,000","160,000","35,000","5,000","100,000","200,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
Efreeti Chain Mail Armor,DMG 167,Armor,Legendary,Major,none,TRUE,FALSE,55.00,Permanent,Smiths-Tools,Dimensional,Fiery,,8,"20,000","160,000","35,000","5,000","100,000","200,000","While wearing this armor, you gain a +3 bonus to AC, 
you are immune to fire damage, and you can understand 
and speak Primordial. In addition, you can stand on and 
walk across molten rock as if it were solid ground . "
Plate Armor of Etherealness,DMG 185,Armor,Legendary,Major,none,TRUE,FALSE,65.00,Permanent,Smiths-Tools,Dimensional,,,8,"20,000","160,000","35,000","5,000","100,000","200,000","While youre wearing this armor, you can speak its command word as an action to gain the effect of the etherealness spell, which last for 10 minutes or until you remove the armor or use an action to speak the command word again. This property of the armor cant be used again until the next dawn.

Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body."
Plate Armor of Invulnerability,DMG 152,Armor,Legendary,Major,none,TRUE,FALSE,65.00,Permanent,Smiths-Tools,Inert,,,8,"20,000","160,000","35,000","5,000","100,000","200,000","You have resistance to nonmagical damage while you wear this armor. Additionally, you can use an action to make yourself immune to nonmagical damage for 10 minutes or until you are no longer wearing the armor. Once this special action is used, it cant be used again until the next dawn."
+1 Breastplate Armor,DMG 152,Armor,Rare,Major,,FALSE,FALSE,,Permanent,Smiths-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+1 Chain Mail Armor,DMG 152,Armor,Rare,Major,,FALSE,FALSE,,Permanent,Smiths-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+1 Chain Shirt Armor,DMG 152,Armor,Rare,Major,,FALSE,FALSE,,Permanent,Smiths-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+1 Half Plate Armor,DMG 152,Armor,Rare,Major,,FALSE,FALSE,,Permanent,Smiths-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+1 Hide Armor,DMG 152,Armor,Rare,Major,,FALSE,FALSE,,Permanent,Leatherworkers-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+1 Leather Armor,DMG 152,Armor,Rare,Major,,FALSE,FALSE,,Permanent,Leatherworkers-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+1 Padded Armor,DMG 152,Armor,Rare,Major,,FALSE,FALSE,,Permanent,Weavers-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+1 Plate Armor,DMG 152,Armor,Rare,Major,,FALSE,FALSE,,Permanent,Smiths-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+1 Ring Mail Armor,DMG 152,Armor,Rare,Major,,FALSE,FALSE,,Permanent,Smiths-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+1 Scale Mail Armor,DMG 152,Armor,Rare,Major,,FALSE,FALSE,,Permanent,Smiths-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+1 Splint Armor,DMG 152,Armor,Rare,Major,,FALSE,FALSE,,Permanent,Smiths-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+1 Studded Leather Armor,DMG 152,Armor,Rare,Major,,FALSE,FALSE,,Permanent,Leatherworkers-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000",You have a bonus to AC while wearing this armor. The bonus is determined by its rarity. 
+2 Shield,DMG 200,Armor,Rare,Major,,FALSE,FALSE,,Permanent,Smiths-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000","While holding this shield, you have a bonus to AC determined by the shields rarity. This bonus is in addition to the shields normal bonus to AC. "
Animated Shield,DMG 151,Armor,Rare,Major,none,TRUE,FALSE,1.00,Permanent,Smiths-Tools,Theurgic,,,8,200,"1,600",350,50,"1,000","2,000","While holding this shield, you can speak its command word as a bonus action to cause it to animate. The shield leaps into the air and hovers in your space to protect you as if you were wielding it, leaving your hands free. The shield remains animated for 1 minute, until you use a bonus action to end this effect, or until you are incapacitated or die, at which point the shield falls to the ground or into your hand if you have one free. "
Arrow-Catching Shield,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,6.00,Permanent,Smiths-Tools,Forceful,,,8,200,"1,600",350,50,"1,000","2,000","You gain a +2 bonus to AC against ranged attacks while you wield this shield. This bonus is in addition to the shields normal bonus to AC. In addition, whenever an attacker makes a ranged attack against a target within 5 feet of you, you can use your reaction to become the target of the attack instead. "
Breastplate Armor of Acid Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Acidic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Acid damage while you wear this armor.
Breastplate Armor of Cold Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Cold,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Cold damage while you wear this armor.
Breastplate Armor of Fire Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Fiery,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Fire damage while you wear this armor.
Breastplate Armor of Force Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Forceful,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Force damage while you wear this armor.
Breastplate Armor of Lightning Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Lightning,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Lightning damage while you wear this armor.
Breastplate Armor of Necrotic Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Necrotic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Necrotic damage while you wear this armor.
Breastplate Armor of Poison Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Poisonous,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Poison damage while you wear this armor.
Breastplate Armor of Pyschic Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Pyschic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Psychic damage while you wear this armor.
Breastplate Armor of Radiant Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Radiant,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Radiant damage while you wear this armor.
Breastplate Armor of Thunder Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Thundering,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Thunder damage while you wear this armor.
Chain Mail Armor of Acid Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,55.00,Permanent,Smiths-Tools,Acidic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Acid damage while you wear this armor.
Chain Mail Armor of Cold Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,55.00,Permanent,Smiths-Tools,Cold,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Cold damage while you wear this armor.
Chain Mail Armor of Fire Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,55.00,Permanent,Smiths-Tools,Fiery,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Fire damage while you wear this armor.
Chain Mail Armor of Force Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,55.00,Permanent,Smiths-Tools,Forceful,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Force damage while you wear this armor.
Chain Mail Armor of Lightning Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,55.00,Permanent,Smiths-Tools,Lightning,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Lightning damage while you wear this armor.
Chain Mail Armor of Necrotic Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,55.00,Permanent,Smiths-Tools,Necrotic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Necrotic damage while you wear this armor.
Chain Mail Armor of Poison Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,55.00,Permanent,Smiths-Tools,Poisonous,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Poison damage while you wear this armor.
Chain Mail Armor of Pyschic Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,55.00,Permanent,Smiths-Tools,Pyschic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Psychic damage while you wear this armor.
Chain Mail Armor of Radiant Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,55.00,Permanent,Smiths-Tools,Radiant,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Radiant damage while you wear this armor.
Chain Mail Armor of Thunder Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,55.00,Permanent,Smiths-Tools,Thundering,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Thunder damage while you wear this armor.
Chain Shirt Armor of Acid Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Acidic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Acid damage while you wear this armor.
Chain Shirt Armor of Cold Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Cold,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Cold damage while you wear this armor.
Chain Shirt Armor of Fire Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Fiery,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Fire damage while you wear this armor.
Chain Shirt Armor of Force Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Forceful,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Force damage while you wear this armor.
Chain Shirt Armor of Lightning Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Lightning,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Lightning damage while you wear this armor.
Chain Shirt Armor of Necrotic Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Necrotic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Necrotic damage while you wear this armor.
Chain Shirt Armor of Poison Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Poisonous,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Poison damage while you wear this armor.
Chain Shirt Armor of Pyschic Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Pyschic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Psychic damage while you wear this armor.
Chain Shirt Armor of Radiant Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Radiant,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Radiant damage while you wear this armor.
Chain Shirt Armor of Thunder Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,20.00,Permanent,Smiths-Tools,Thundering,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Thunder damage while you wear this armor.
Elven Chain Shirt Armor,DMG 168,Armor,Rare,Major,,FALSE,FALSE,20.00,Permanent,Smiths-Tools,Phantasmal,,,8,200,"1,600",350,50,"1,000","2,000","You gain a +1 bonus to AC while you wear this armor. You are considered proficient with this armor even if you lack proficiency with medium armor.

Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearers upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers"
Glamoured Studded Leather Armor,DMG 172,Armor,Rare,Major,,FALSE,FALSE,13.00,Permanent,Leatherworkers-Tools,Phantasmal,,,8,200,"1,600",350,50,"1,000","2,000","While wearing this armor, you gain a +1 bonus to AC. You can also use a bonus action to speak the armors command word and cause the armor to assume the appearance of a normal set of clothing or some other kind of armor. You decide what it looks like, including color, style, and accessories, but the armor retains its normal bulk and weight. The illusory appearance lasts until you use this property again or remove the armor.

Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Half Plate Armor of Acid Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,40.00,Permanent,Smiths-Tools,Acidic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Acid damage while you wear this armor.
Half Plate Armor of Cold Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,40.00,Permanent,Smiths-Tools,Cold,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Cold damage while you wear this armor.
Half Plate Armor of Fire Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,40.00,Permanent,Smiths-Tools,Fiery,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Fire damage while you wear this armor.
Half Plate Armor of Force Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,40.00,Permanent,Smiths-Tools,Forceful,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Force damage while you wear this armor.
Half Plate Armor of Lightning Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,40.00,Permanent,Smiths-Tools,Lightning,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Lightning damage while you wear this armor.
Half Plate Armor of Necrotic Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,40.00,Permanent,Smiths-Tools,Necrotic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Necrotic damage while you wear this armor.
Half Plate Armor of Poison Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,40.00,Permanent,Smiths-Tools,Poisonous,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Poison damage while you wear this armor.
Half Plate Armor of Pyschic Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,40.00,Permanent,Smiths-Tools,Pyschic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Psychic damage while you wear this armor.
Half Plate Armor of Radiant Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,40.00,Permanent,Smiths-Tools,Radiant,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Radiant damage while you wear this armor.
Half Plate Armor of Thunder Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,40.00,Permanent,Smiths-Tools,Thundering,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Thunder damage while you wear this armor.
Hide Armor of Acid Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,12.00,Permanent,Leatherworkers-Tools,Acidic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Acid damage while you wear this armor.
Hide Armor of Cold Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,12.00,Permanent,Leatherworkers-Tools,Cold,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Cold damage while you wear this armor.
Hide Armor of Fire Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,12.00,Permanent,Leatherworkers-Tools,Fiery,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Fire damage while you wear this armor.
Hide Armor of Force Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,12.00,Permanent,Leatherworkers-Tools,Forceful,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Force damage while you wear this armor.
Hide Armor of Lightning Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,12.00,Permanent,Leatherworkers-Tools,Lightning,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Lightning damage while you wear this armor.
Hide Armor of Necrotic Resistance,DMG 152,Armor,Rare,Major,none,TRUE,FALSE,12.00,Permanent,Leatherworkers-Tools,Necrotic,,,8,200,"1,600",350,50,"1,000","2,000",You have resistance to Necrotic damage while you wear this armor.
