'eldritch cartilage': {'void', 'creature', 'psychic', 'cr-value', 'aberration', 'special', 'bone', },
'heart blossom': {'psychic', 'plant', 'vital', 'uncommon', 'herb', 'phantasmal', 'non-mineral', },
'silent lady': {'cold', 'void', 'plant', 'uncommon', 'herb', 'phantasmal', 'non-mineral', },
'snake vine': {'lightning', 'fiery', 'plant', 'acidic', 'uncommon', 'herb', 'non-mineral', },
'trillimac': {'forceful', 'plant', 'inert', 'uncommon', 'herb', 'thunder', 'non-mineral', },
'waterorb': {'plant', 'chaotic', 'uncommon', 'dimensional', 'tempest', 'herb', 'non-mineral', },
'blackleaf rose': {'poisonous', 'plant', 'herb', 'chaotic', 'theurgic', 'very-rare', 'non-mineral', },
'dragonhart': {'forceful', 'fiery', 'plant', 'herb', 'chaotic', 'very-rare', 'non-mineral', },
'leapleaf': {'plant', 'herb', 'mercurial', 'tempest', 'theurgic', 'very-rare', 'non-mineral', },
'majestys ward': {'cold', 'plant', 'herb', 'vital', 'inert', 'very-rare', 'non-mineral', },
'mandrake/witchroot': {'plant', 'herb', 'vital', 'necrotic', 'very-rare', 'thunder', 'non-mineral', },
'nilhoggs nose': {'void', 'psychic', 'plant', 'herb', 'very-rare', 'phantasmal', 'non-mineral', },
'phoenix bloom': {'fiery', 'plant', 'herb', 'vital', 'radiant', 'very-rare', 'non-mineral', },
'rotbane': {'plant', 'herb', 'dimensional', 'necrotic', 'fiendish', 'very-rare', 'non-mineral', },
'timmask': {'forceful', 'acidic', 'plant', 'herb', 'psychic', 'very-rare', 'non-mineral', },
'unicorn root': {'lightning', 'theurgic', 'plant', 'herb', 'radiant', 'very-rare', 'non-mineral', },
'aching cypress': {'common', 'plant', 'chaotic', 'acidic', 'necrotic', 'wood', 'non-mineral', },
'deadly ash': {'poisonous', 'void', 'fiery', 'plant', 'common', 'wood', 'non-mineral', },
'fanged elm': {'common', 'plant', 'theurgic', 'fiendish', 'wood', 'phantasmal', 'non-mineral', },
'frozen holly': {'cold', 'common', 'plant', 'mercurial', 'theurgic', 'wood', 'non-mineral', },
'phronet': {'psychic', 'plant', 'common', 'inert', 'fiery', 'wood', 'non-mineral', },
'lunar cedar': {'forceful', 'common', 'plant', 'dimensional', 'wood', 'phantasmal', 'non-mineral', },
'ookrupeam': {'common', 'plant', 'vital', 'tempest', 'radiant', 'wood', 'non-mineral', },
'putrid fir': {'poisonous', 'common', 'plant', 'acidic', 'necrotic', 'wood', 'non-mineral', },
'shiper': {'common', 'plant', 'tempest', 'inert', 'mercurial', 'wood', 'non-mineral', },
'shocking palm': {'common', 'plant', 'tempest', 'wood', 'lightning', 'thunder', 'non-mineral', },
'celestial oak': {'plant', 'vital', 'theurgic', 'legendary', 'radiant', 'wood', 'non-mineral', },
'demon pine': {'void', 'fiery', 'plant', 'legendary', 'fiendish', 'wood', 'non-mineral', },
'dodona': {'plant', 'mercurial', 'legendary', 'necrotic', 'wood', 'lightning', 'non-mineral', },
'drakolia': {'fiery', 'plant', 'theurgic', 'inert', 'legendary', 'wood', 'non-mineral', },
'hathor': {'forceful', 'plant', 'inert', 'legendary', 'wood', 'thunder', 'non-mineral', },
'kodama': {'psychic', 'plant', 'legendary', 'dimensional', 'wood', 'phantasmal', 'non-mineral', },
'meliae': {'cold', 'plant', 'tempest', 'vital', 'legendary', 'wood', 'non-mineral', },
'urifer': {'poisonous', 'forceful', 'acidic', 'plant', 'legendary', 'wood', 'non-mineral', },
'wish tree': {'theurgic', 'plant', 'chaotic', 'legendary', 'dimensional', 'wood', 'non-mineral', },
'yggdrasil': {'theurgic', 'plant', 'vital', 'legendary', 'radiant', 'wood', 'non-mineral', },
'boltwood': {'plant', 'theurgic', 'tempest', 'rare', 'wood', 'lightning', 'non-mineral', },
'darkwood': {'void', 'acidic', 'plant', 'necrotic', 'rare', 'wood', 'non-mineral', },
'drowsy catalpa': {'psychic', 'plant', 'theurgic', 'rare', 'wood', 'phantasmal', 'non-mineral', },
