Item,Source,Type,Subtype,Subtype2,Proficiency,Shop-Type,Availability,Primary-Materials,Secondary-Materials,Add-On-Materials,lbs,Mat-Base-Price,Material-Cost,Labor-Cost,Resale- Value-Low,Resale-Value-High,Resale-Value-Normal,Cost-Low,Cost-High,Total-Cost,Text
Plate Armor,PHB,Armor,Heavy,,Smiths-Tools,Blacksmith,Premium-Access,Metal,"Hide, Textile","Dye, Gem",65.00,120.00,960.00,240.00,360.00,720.00,480.00,"1,200.00","2,100.00","1,500.00","Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body.

The wearer has disadvantage on Dexterity (Stealth) checks.

If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Ring Mail,PHB,Armor,Heavy,,Smiths-Tools,Blacksmith,Town-Access,Metal,Hide,"Dye, Gem",40.00,2.40,19.20,4.80,7.20,14.40,9.60,24.00,42.00,30.00,"This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and its usually worn only by those who cant afford better armor.

The wearer has disadvantage on Dexterity (Stealth) checks."
Splint Armor,PHB,Armor,Heavy,,Smiths-Tools,Blacksmith,City-Access,Metal,"Hide, Textile","Dye, Gem",60.00,16.00,128.00,32.00,48.00,96.00,64.00,160.00,280.00,200.00,"This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.

The wearer has disadvantage on Dexterity (Stealth) checks.

If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Breastplate Armor,PHB,Armor,Medium,,Smiths-Tools,Blacksmith,City-Access,Metal,Hide,"Dye, Gem",20.00,32.00,256.00,64.00,96.00,192.00,128.00,320.00,560.00,400.00,"This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearers vital organs while leaving the wearer relatively unencumbered."
Chain Shirt,PHB,Armor,Medium,,Smiths-Tools,Blacksmith,Town-Access,Metal,,"Dye, Gem",20.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearers upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Half Plate Armor,PHB,Armor,Medium,,Smiths-Tools,Blacksmith,Premium-Access,Metal,Hide,"Dye, Gem",40.00,60.00,480.00,120.00,180.00,360.00,240.00,600.00,"1,050.00",750.00,"Half plate consists of shaped metal plates that cover most of the wearers body. It does not include leg protection beyond simple greaves that are attached with leather straps.

The wearer has disadvantage on Dexterity (Stealth) checks."
Scale Mail,PHB,Armor,Medium,,Smiths-Tools,Blacksmith,Town-Access,Metal,Hide,"Dye, Gem",45.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.

The wearer has disadvantage on Dexterity (Stealth) checks."
Spiked Armor,SCAG,Armor,Medium,,Smiths-Tools,Blacksmith,City-Access,Metal,Hide,"Dye, Gem",45.00,6.00,48.00,12.00,18.00,36.00,24.00,60.00,105.00,75.00,"Spiked armor is a rare type of medium armor made by dwarves. It consists of a leather coat and leggings covered with spikes that are usually made of metal.

The wearer has disadvantage on Dexterity (Stealth) checks."
Shield,PHB,Armor,Shield,,Smiths-Tools,Blacksmith,Town-Access,"Metal, Wood",Metal,"Dye, Gem",6.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time.
Whetstone,PHB,Gear,Travelers,,Masons-Tools,Blacksmith,All-Access,Earthenware,Mineral,,1.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,A standard whetstone used to sharpen blades.
Club,PHB,Weapon,Simple,Melee,Woodcarvers-Tools,Blacksmith,All-Access,Wood,,"Dye, Gem, Metal, Mineral",2.00,0.01,0.06,0.02,0.02,0.05,0.03,0.08,0.14,0.10,1d4 bludgeoning; light
Greatclub,PHB,Weapon,Simple,Melee,Woodcarvers-Tools,Blacksmith,All-Access,Wood,,"Dye, Gem, Metal, Mineral",10.00,0.02,0.13,0.03,0.05,0.10,0.06,0.16,0.28,0.20,1d8 bludgeoning; Two-handed
Quarterstaff,PHB,Weapon,Simple,Melee,Woodcarvers-Tools,Blacksmith,All-Access,"Wood, Metal",,"Dye, Gem, Leather, Metal, Mineral, Textile",4.00,0.02,0.13,0.03,0.05,0.10,0.06,0.16,0.28,0.20,1d6 bludgeoning; versatile (1d8)
Airship,DMG,Vehicle,Airborne,,Carpenters-Tools,Dock/Air,Special-Access,Wood,Metal,,"2,000.00","1,600.00","12,800.00","3,200.00","4,800.00","9,600.00","6,400.00","16,000.00","28,000.00","20,000.00","Speed: 8 mph
Carrying Capacity: 1 ton cargo, 20 passengers
Crew 10, AC 13, HP 300"
Skyship,EGW,Vehicle,Airborne,,Carpenters-Tools,Dock/Air,Special-Access,Wood,Metal,,"20,000.00","8,000.00","64,000.00","16,000.00","24,000.00","48,000.00","32,000.00","80,000.00","140,000.00","100,000.00","Speed: 10 mph
Carrying Capacity: 10 tons cargo, 30 passengers
Personal Travel Cost: 2 gp per mile per passenger
Shipping Cost: 1 gp per 100 pounds per mile
Crew 6-10"
Canoe,ToA,Vehicle,Waterborne,,Carpenters-Tools,Dock/Water,Town-Access,Wood,Metal,,100.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,It holds up to six Medium creatures and has a maximum speed of 2 mph. It is otherwise identical to a rowboat.
Galley,DMG,Vehicle,Waterborne,,Carpenters-Tools,Dock/Water,Special-Access,Wood,"Textile, Metal",,"300,000.00","2,400.00","19,200.00","4,800.00","7,200.00","14,400.00","9,600.00","24,000.00","42,000.00","30,000.00","Speed: 4 mph
Carrying Capacity: 150 tons cargo
Crew 80, AC 15, HP 500, Damage Threshold 20"
Keelboat,DMG,Vehicle,Waterborne,,Carpenters-Tools,Dock/Water,Special-Access,Wood,Metal,,"1,000.00",240.00,"1,920.00",480.00,720.00,"1,440.00",960.00,"2,400.00","4,200.00","3,000.00","Keelboats and rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles cant be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. 
Speed: 1 mph
Carrying Capacity: 1/2 ton cargo, 6 passengers
Crew 1, AC 15, HP 100, Damage Threshold 10"
Longship,DMG,Vehicle,Waterborne,,Carpenters-Tools,Dock/Water,Special-Access,Wood,Metal,,"20,000.00",800.00,"6,400.00","1,600.00","2,400.00","4,800.00","3,200.00","8,000.00","14,000.00","10,000.00","Speed: 3 mph
Carrying Capacity: 10 tons cargo, 150 passengers
Crew 40, AC 15, HP 300, Damage Threshold 15"
Rowboat,DMG,Vehicle,Waterborne,,Carpenters-Tools,Dock/Water,Town-Access,Wood,,,100.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"Keelboats and rowboats are used on lakes and rivers, If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles cant be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A rowboat weighs 100 pounds, in case adventurers carry it over land.
Speed: 1½ mph
Carrying Capacity: 3 passengers
Crew 1, AC 11, HP 50"
Sailing Ship,DMG,Vehicle,Waterborne,,Carpenters-Tools,Dock/Water,Special-Access,Wood,Textile,,"200,000.00",800.00,"6,400.00","1,600.00","2,400.00","4,800.00","3,200.00","8,000.00","14,000.00","10,000.00","Speed: 2 mph
Carrying Capacity: 100 tons cargo, 20 passengers
Crew 20, AC 15, HP 300, Damage Threshold 15"
Warship,DMG,Vehicle,Waterborne,,Carpenters-Tools,Dock/Water,Special-Access,Wood,"Textile, Metal",,"400,000.00","2,000.00","16,000.00","4,000.00","6,000.00","12,000.00","8,000.00","20,000.00","35,000.00","25,000.00","Speed: 2½ mph
Carrying Capacity: 200 tons cargo, 60 passengers
Crew 60, AC 15, HP 500, Damage Threshold 20"
"Bread, Loaf",PHB,Foodstuffs,Food,,Cooks-Utensils,Food-Market,All-Access,Plant,Water,"Foodstuff, Spice",-,0.00,0.01,0.00,0.00,0.01,0.01,0.02,0.03,0.02,"food made of flour, water, and yeast or another leavening agent, mixed together and baked."
"Cheese, Hunk",PHB,Foodstuffs,Food,,Cooks-Utensils,Food-Market,All-Access,Fluid,,"Foodstuff, Spice",-,0.01,0.06,0.02,0.02,0.05,0.03,0.08,0.14,0.10,a food made from the pressed curds of milk.
"Meat, Chunk",PHB,Foodstuffs,Meat,Protein,Cooks-Utensils,Food-Market,All-Access,Flesh,,"Foodstuff, Spice",-,0.02,0.19,0.05,0.07,0.14,0.10,0.24,0.42,0.30,the flesh of an animal as food
Flour,PHB,Foodstuffs,Trade-Good,Grain,Cooks-Utensils,Food-Market,All-Access,Plant,-,-,-,0.00,0.01,0.00,0.00,0.01,0.01,0.02,0.03,0.02,main ingredient of bread and many other foods
Oats,HB,Foodstuffs,Trade-Good,Grain,Cooks-Utensils,Food-Market,All-Access,Plant,,,-,0.00,0.03,0.01,0.01,0.02,0.02,0.04,0.07,0.05,whole-grain cereal; high in fiber and vitamins
Rice,HB,Foodstuffs,Trade-Good,Grain,Cooks-Utensils,Food-Market,All-Access,Plant,,,-,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,"the seed of a type of grass, used in cooking"
Wheat,PHB,Foodstuffs,Trade-Good,Grain,Cooks-Utensils,Food-Market,All-Access,Plant,,,-,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,a major ingredient in various foods
Cinnamon,PHB,Foodstuffs,Trade-Good,Spice,Cooks-Utensils,Food-Market,All-Access,Plant,,,-,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"used mainly as an aromatic condiment and flavouring additive in a wide variety of cuisines, sweet and savoury dishes, breakfast cereals, snackfoods, tea and traditional foods"
Cloves,PHB,Foodstuffs,Trade-Good,Spice,Cooks-Utensils,Food-Market,All-Access,Plant,,,-,0.24,1.92,0.48,0.72,1.44,0.96,2.40,4.20,3.00,commonly used as a spice
Coriander,HB,Foodstuffs,Trade-Good,Spice,Cooks-Utensils,Food-Market,All-Access,Plant,,,-,0.00,0.02,0.00,0.01,0.01,0.01,0.02,0.04,0.03,"All parts of the plant are edible, but the fresh leaves and the dried seeds are the parts most traditionally used in cooking"
Cumin,HB,Foodstuffs,Trade-Good,Spice,Cooks-Utensils,Food-Market,All-Access,Plant,,,-,0.01,0.04,0.01,0.02,0.03,0.02,0.06,0.10,0.07,"Its seeds – each one contained within a fruit, which is dried – are used in the cuisines of many cultures in both whole and ground form"
Garlic,HB,Foodstuffs,Trade-Good,Spice,Cooks-Utensils,Food-Market,All-Access,Plant,,,-,0.00,0.01,0.00,0.00,0.01,0.01,0.02,0.03,0.02,widely used around the world for its pungent flavor as a seasoning or condiment.
Ginger,PHB,Foodstuffs,Trade-Good,Spice,Cooks-Utensils,Food-Market,All-Access,Plant,,,-,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,is widely used as a spice and a folk medicine
Nutmeg,HB,Foodstuffs,Trade-Good,Spice,Cooks-Utensils,Food-Market,All-Access,Plant,,,-,0.01,0.05,0.01,0.02,0.04,0.03,0.06,0.11,0.08,the seed or ground spice
Pepper,PHB,Foodstuffs,Trade-Good,Spice,Cooks-Utensils,Food-Market,All-Access,Plant,,,-,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00, which is usually dried and used as a spice and seasoning.
"Root Vegatables, 1lb",HB,Foodstuffs,Trade-Good,Spice,Cooks-Utensils,Food-Market,All-Access,Plant,,,-,0.00,0.01,0.00,0.00,0.01,0.01,0.02,0.03,0.02,underground plant parts eaten by creatures as food
Saffron,PHB,Foodstuffs,Trade-Good,Spice,Cooks-Utensils,Food-Market,Town-Access,Plant,,,-,1.20,9.60,2.40,3.60,7.20,4.80,12.00,21.00,15.00,dried for use mainly as a seasoning and colouring agent in food
Salt,PHB,Foodstuffs,Trade-Good,Spice,Cooks-Utensils,Food-Market,All-Access,Salt,,,-,0.00,0.03,0.01,0.01,0.02,0.02,0.04,0.07,0.05,"one of the oldest and most ubiquitous food seasonings, and salting is an important method of food preservation."
"Clothes, Common",PHB,Gear,Clothing,,Weavers-Tools,Tailor,All-Access,Textile,Hide,"Dye, Gem, Hide, Textile",3.00,0.04,0.32,0.08,0.12,0.24,0.16,0.40,0.70,0.50,"items worn to cover the body made from common materials, for general occasions."
"Clothes, Costume",PHB,Gear,Clothing,,Weavers-Tools,Tailor,All-Access,Textile,Hide,"Dye, Gem, Hide, Textile",4.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"items worn to cover the body made from various materials, for disguising oneself."
"Clothes, Fine",PHB,Gear,Clothing,,Weavers-Tools,Tailor,Town-Access,Textile,"Hide, Metal","Dye, Gem, Hide, Textile",6.00,1.20,9.60,2.40,3.60,7.20,4.80,12.00,21.00,15.00,"items worn to cover the body made from fine materials, typically for social gatherings."
"Clothes, Travelers",PHB,Gear,Clothing,,Weavers-Tools,Tailor,All-Access,Textile,HIde,"Bone, Dye, Gem, Metal",4.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"items worn to cover the body made of various materials, for general journeys or travels."
"Clothing, cold weather",IDRotF,Gear,Clothing,,Weavers-Tools,Tailor,Town-Access,Hide,"Textile, Leather",,5.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"This outfit consists of a heavy fur coat or cloak over layers of wool clothing, as well as a fur-lined hat or hood, goggles, and fur-lined leather boots and gloves.

As long as cold weather clothing remains dry, its wearer automatically succeeds on saving throws against the effects of extreme cold."
"Clothing, Monster Feather ",HB,Gear,Clothing,,Weavers-Tools,Tailor,City-Access,Feathers,"Hide, Textile","Bone, Dye, Gem ,Metal, Mineral",2.00,20.00,160.00,40.00,60.00,120.00,80.00,192.00,336.00,240.00,"While wearing this clothing: the wearer gains advantage on any animal handling checks, and automatically succeeds on saving throws against the effects of extreme cold. Also water resistant."
"Clothing, Monster-Silk",HB,Gear,Clothing,,Weavers-Tools,Tailor,City-Access,Silk,"Hide, Textile","Bone, Dye, Gem ,Metal, Mineral",2.00,20.00,160.00,40.00,60.00,120.00,80.00,192.00,336.00,240.00,While wearing creature-silk clothing you gain advantage on stealth checks
Antitoxin (vial),PHB,Gear,Medicine,,Herbalism-Kit,Potion-Shop,Town-Access,Fluid,Vial,"Flesh, Gem, Metal ,Mineral, Plant",-,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs.
Healers Kit,PHB,Gear,Medicine,,Herbalism-Kit,Potion-Shop,All-Access,"Plant, Textile, Wood",,Dye,3.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check."
"Assassins Blood, Dose",DMG,Gear,Poison,,Poisoners-Kit,Shady-Dealer,City-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,48.00,96.00,24.00,36.00,72.00,48.00,120.00,210.00,150.00,"Ingested. A creature subjected to this poison must make a DC 10 Constitution saving throw. On a failed save, it takes 6 (1d12) poison damage and is poisoned for 24 hours. On a successful save, the creature takes half damage and isn’t poisoned."
"Basic Poison, Dose",PHB,Gear,Poison,,Poisoners-Kit,Shady-Dealer,City-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,32.00,64.00,16.00,24.00,48.00,32.00,80.00,140.00,100.00,"Injury. You can use this poison to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying."
"Burnt Othur Fumes, Dose",DMG,Gear,Poison,,Poisoners-Kit,Shady-Dealer,Premium-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,160.00,320.00,80.00,120.00,240.00,160.00,400.00,700.00,500.00,"Inhaled. A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or take 10 (3d6) poison damage, and must repeat the saving throw at the start of each of its turns. On each successive failed save, the character takes 3 (1d6) poison damage. After three successful saves, the poison ends."
"Carrion Crawler Mucus, Dose",DMG,Gear,Poison,,Poisoners-Kit,Shady-Dealer,Premium-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,64.00,128.00,32.00,48.00,96.00,64.00,160.00,280.00,200.00,"Contact. This poison must be harvested from a dead or incapacitated carrion crawler. A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. The poisoned creature is paralyzed. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
"Hales Dust, Dose",HB,Gear,Poison,,Poisoners-Kit,Shady-Dealer,Premium-Access,Fluid,Glass,,-,128.00,256.00,64.00,96.00,192.00,128.00,320.00,560.00,400.00,"Inhaled. Originally used by the eponymous healer to help subdue and quiet wounded or troubled soldiers who were too much for him to handle, others have since come up with more sinister uses. A creature subjected to this substance must succeed on a DC 12 Constitution saving throw or become poisoned for 6 hours. The poisoned creature cannot use their strength modifier (if above 0) to any roll. "
"Magebane, Dose",HB,Gear,Poison,,Poisoners-Kit,Shady-Dealer,City-Access,Fluid,Glass,,-,48.00,96.00,24.00,36.00,72.00,48.00,120.00,210.00,150.00,"injury. Developed by the Jade Assassins, this violet liquid is anathema to spellcasters, draining their arcane energy. A creature subjected to this poison must succeed on a DC 12 Constitution saving throw or become poisoned for 1 minute. The poisoned creature suffers an effect on the Magebane Table. Roll 1d4 for the effect:
Magebane Table
1-2) Lose 1 highest level available spell slot
3-4) Double casting time for all spells requiring spell slots"
"Malice, Dose",DMG,Gear,Poison,,Poisoners-Kit,Shady-Dealer,Premium-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,80.00,160.00,40.00,60.00,120.00,80.00,200.00,350.00,250.00,Inhaled. A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become poisoned for 1 hour. The poisoned creature is blinded.
"Marrow Lock, Dose",HB,Gear,Poison,,Poisoners-Kit,Shady-Dealer,Premium-Access,Fluid,Glass,,-,80.00,160.00,40.00,60.00,120.00,80.00,200.00,350.00,250.00,Injury. This insidious poison runs ice through its victim’s limbs. A creature subjected to this poison must succeed on a DC 18 Constitution saving throw or become poisoned for 1 minute. Marrow lock’s victims have their movement hindered. The victim suffers 1d6 poison damage per 5 feet of movement.
"Midnight Tears, Dose",DMG,Gear,Poison,,Poisoners-Kit,Shady-Dealer,Special-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,480.00,960.00,240.00,360.00,720.00,480.00,"1,200.00","2,100.00","1,500.00","Ingested. A creature that ingests this poison suffers no effect until the stroke of midnight. If the poison has not been neutralized before then, the creature must succeed on a DC 17 Constitution saving throw, taking 31 (9d6) poison damage on a failed save, or half as much damage on a successful one."
"Oil of Taggit, Dose",DMG,Gear,Poison,,Poisoners-Kit,Shady-Dealer,Premium-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,128.00,256.00,64.00,96.00,192.00,128.00,320.00,560.00,400.00,Contact. A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or become poisoned for 24 hours. The poisoned creature is unconscious. The creature wakes up if it takes damage. 
"Oldroot Resin, Dose",HB,Gear,Poison,,Poisoners-Kit,Shady-Dealer,City-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,48.00,96.00,24.00,36.00,72.00,48.00,120.00,210.00,150.00,"Ingested. Oldroot is a common and relatively harmless plant. The outlanders would chew the resin from the root bulbs to induce vivid hallucinations in which they seek mystic knowledge. Those who ingest oldroot resin must make a DC 15 Constitution check. Those who fail suffer hallucinations according to the Oldroot Hallucinations table. The involuntary actions described last only for 1 minute, but they continue to suffer disorienting minor hallucinations without mechanical effects for up to an hour.
1d6 Oldroot Hallucinations
1. Even the birds are mocking me! The character spends the next minute raving at and attacking something innocuous like a tree, barrel, wagon, shrub, or bird.
2. Get it off! Get it off! Get it off! The character is convinced they are covered by bugs, leeches, snakes, or the like. They spend the next minute swatting at non-existent creepy-crawlies.
3. You did this to me! The character believes one of their comrades had backstabbed them or is otherwise plotting their demise. The character can only take the defend action and yell in outrage at their “betrayer.”
4. The sky, the hideous sky! The character believes that some malign creatures from the sky are about to carry them off (or, for dwarves, that they are going to fall into the sky). The character spends the next minute dropping their weapons and grabbing something solid.
5. The shadows are alive! The character is overcome with fear of the surrounding shadows, including their own. They spend the next minute running at top speed away from the closest concentration of shadows.
6. Foul demon! The character is suddenly convinced that a random nearby ally (determined by the GM) is a demon or other natural enemy. The character spends the next minute attacking that “enemy”."
"Pale Tincture, Dose",DMG,Gear,Poison,,Poisoners-Kit,Shady-Dealer,Premium-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,80.00,160.00,40.00,60.00,120.00,80.00,200.00,350.00,250.00,"Ingested. A creature subjected to this poison must succeed on a DC 16 Constitution saving throw or take 3 (1d6) poison damage and become poisoned. The poisoned creature must repeat the saving throw every 24 hours, taking 3 (1d6) poison damage on a failed save. Until this poison ends, the damage the poison deals can’t be healed by any means. After seven successful saving throws, the effect ends and the creature can heal normally."
"Purple Worm Poison, Dose",DMG,Gear,Poison,,Poisoners-Kit,Shady-Dealer,Special-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,640.00,"1,280.00",320.00,480.00,960.00,640.00,"1,600.00","2,800.00","2,000.00","Injury. This poison must be harvested from a dead or incapacitated purple worm. A creature subjected to this poison must make a DC 19 Constitution saving throw, taking 42 (12d6) poison damage on a failed save, or half as much damage on a successful one."
"Serpent Venom, Dose",DMG,Gear,Poison,,Poisoners-Kit,Shady-Dealer,Premium-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,64.00,128.00,32.00,48.00,96.00,64.00,160.00,280.00,200.00,"Injury. This poison must be harvested from a dead or incapacitated giant poisonous snake. A creature subjected to this poison must succeed on a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one. "
"Spider Venom, Dose",HB,Gear,Poison,,Poisoners-Kit,Shady-Dealer,Premium-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,80.00,160.00,40.00,60.00,120.00,80.00,200.00,350.00,250.00,"Injury. Extracted from the giant arachnids, this poison can render a creature paralyzed. A creature subjected to this poison must succeed on a DC 11 Constitution saving throw, taking 13 (3d8) poison damage on a failed save, or no damage on a successful one. On a failed save, the creature is poisoned for 1 minute, causing the creature to be paralyzed. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. "
